id,title,url,uploader,upload_date,duration_sec,view_count
WHaPIgWlCw4,From Debt to Dividends: How I Use Margin to Replace My Paycheck,https://www.youtube.com/watch?v=WHaPIgWlCw4,,,874.0,8001
cY6czfNJijQ,How I Stopped Living Paycheck to Paycheck (Without Making More Money),https://www.youtube.com/watch?v=cY6czfNJijQ,,,719.0,9431
SlbUmiLbCr0,How I Protect My Portfolio From a Market Crash,https://www.youtube.com/watch?v=SlbUmiLbCr0,,,654.0,11843
Z8yzaE8tW-w,"Inside the YieldBOOST Strategy — A Conversation with Will Rhind, CEO of GraniteShares",https://www.youtube.com/watch?v=Z8yzaE8tW-w,,,839.0,4932
E9EuisW90Gw,The Paycheck to Portfolio System Explained (Step-by-Step),https://www.youtube.com/watch?v=E9EuisW90Gw,,,877.0,14893
lZqclPBegFA,"How I’d Start With $10,000 (My Paycheck to Portfolio Plan)",https://www.youtube.com/watch?v=lZqclPBegFA,,,818.0,15967
aiyJgKCpca0,This is How I Borrow Money to Make More Money,https://www.youtube.com/watch?v=aiyJgKCpca0,,,740.0,46597
3t4l8rYWkqo,My Portfolio breakdown — (What I Own and Why),https://www.youtube.com/watch?v=3t4l8rYWkqo,,,776.0,9342
anVzWAvmGkg,Why I Don’t Worry About Taxes (Even With Monthly Income),https://www.youtube.com/watch?v=anVzWAvmGkg,,,714.0,13749
mCEFsSgIPmU,The Secret Weapon of My Dividend Strategy: DRIP at NAV,https://www.youtube.com/watch?v=mCEFsSgIPmU,,,695.0,7780
BllQhy6bSRg,How I Use Options to Boost Income and Protect My Portfolio,https://www.youtube.com/watch?v=BllQhy6bSRg,,,606.0,6046
pJyMOg5XcX4,My Paycheck Doesn’t Pay My Bills — My Portfolio Does,https://www.youtube.com/watch?v=pJyMOg5XcX4,,,617.0,12657
SI0EqncNeFA,"How I Built $3,000+/Month in Dividend Income (And How You Can Too)",https://www.youtube.com/watch?v=SI0EqncNeFA,,,639.0,13417
EV0YjlDp5CM,How I Use Margin To Boost My Income (Without Going Broke),https://www.youtube.com/watch?v=EV0YjlDp5CM,,,602.0,14200
x3a0tm98Ms0,How I Invest Every W-2 Paycheck (Without Ever Touching it),https://www.youtube.com/watch?v=x3a0tm98Ms0,,,710.0,15265
U4UkEwIJucw,How I Get Paid From Dividend ETFs (My FIRE Strategy),https://www.youtube.com/watch?v=U4UkEwIJucw,,,597.0,15702
MbK5kulcKkk,Why I Live Out of My Brokerage Account (My FIRE Strategy),https://www.youtube.com/watch?v=MbK5kulcKkk,,,596.0,80054
